Pattern,Response
.*(school.*fee|tuition).*,"Yabatech school fees range between ₦45,000 and ₦55,000 for full-time ND students. Extra departmental fees may apply."
.*result.*check.*,"To check your result, log in to https://portal.yabatech.edu.ng and navigate to the 'Academic Records' section."
.*(course.*materials|e[- ]?learning).*,Course materials are uploaded to the e-learning portal: https://classroom.yabatech.edu.ng.
.*(course.*materials|e[- ]?learning).*,Course materials are uploaded to the e-learning portal: https://classroom.yabatech.edu.ng. Make sure to use your correct login credentials.
.*student.*portal.*login.*,Visit https://portal.yabatech.edu.ng and log in using your matric number and password to access your dashboard.
.*(hostel|accommodation).*available.*,"📘 Yes, Yabatech offers hostel accommodation. Fees range from ₦15,000 to ₦20,000, and spaces are limited."
.*school.*calendar.*,The academic calendar contains all deadlines and is available on the official site under the Students section.
.*acceptance.*fee.*,"The acceptance fee for new students is ₦20,000. This is a compulsory non-refundable payment after admission is offered."
.*wifi|internet.*,Wi-Fi is available in academic blocks and libraries for registered students with valid login credentials.
.*clubs|societies.*,"Yabatech has various academic, religious, and cultural clubs you can join. Check your department or SUG office."
.*acceptance.*fee.*,"The acceptance fee for new students is ₦20,000. This is a compulsory non-refundable payment after admission is offered."
.*(how are you|what's up|how's it going).*,📘 I'm great and always ready to assist you with Yabatech information.
.*(how.*apply|application.*process).*,"To apply, visit https://yabatech.edu.ng and follow the admission instructions. You need a valid JAMB registration number. Make sure to use your correct login credentials."
.*(how are you|what's up|how's it going).*,I'm great and always ready to assist you with Yabatech information.
.*transcript.*request.*,📘 Transcript requests can be made online via the Yabatech transcript portal. Processing takes a few days to a week.
.*(change of course|switch department).*,"After admission, you can apply for a change of course through the Admissions Office, depending on your scores and availability."
(bye|goodbye|exit|see you).*,Goodbye! I’m always here if you need more info about Yabatech.
.*wifi|internet.*,Wi-Fi is available in academic blocks and libraries for registered students with valid login credentials.
.*(hostel|accommodation).*available.*,"Yes, Yabatech offers hostel accommodation. Fees range from ₦15,000 to ₦20,000, and spaces are limited."
.*student.*union.*,The Student Union Government (SUG) represents student interests. Elections are held annually.
.*orientation.*programme.*,"Orientation introduces new students to academic life, regulations, and support services. Attendance is mandatory."
.*acceptance.*fee.*,"The acceptance fee for new students is ₦20,000. This is a compulsory non-refundable payment after admission is offered."
.*(cut[- ]?off|cutoff).*mark.*,Yabatech's general UTME cut-off mark is 150. Competitive courses like Mass Comm and Engineering may require higher.
.*gpa|cgpa.*calculate.*,📘 Yabatech uses a 4.0 CGPA scale. Your GPA is calculated based on your course grades and their credit units.
.*orientation.*programme.*,"Orientation introduces new students to academic life, regulations, and support services. Attendance is mandatory."
.*transcript.*request.*,Transcript requests can be made online via the Yabatech transcript portal. Processing takes a few days to a week.
(bye|goodbye|exit|see you).*,📘 Goodbye! I’m always here if you need more info about Yabatech.
.*acceptance.*fee.*,"The acceptance fee for new students is ₦20,000. This is a compulsory non-refundable payment after admission is offered."
.*clubs|societies.*,"Yabatech has various academic, religious, and cultural clubs you can join. Check your department or SUG office."
.*wifi|internet.*,Wi-Fi is available in academic blocks and libraries for registered students with valid login credentials.
^(hi|hello|hey|good morning|good afternoon|good evening).*$,Hello! Welcome to the Yabatech Assistant. Feel free to ask me anything about the school.
.*certificate.*collection.*,"To collect your certificate, clear all dues and visit the Exams & Records unit with your ID and evidence of clearance."
.*registration.*deadline.*,All course registration deadlines are posted on the student portal. Late registration attracts penalties.
.*(course.*materials|e[- ]?learning).*,Course materials are uploaded to the e-learning portal: https://classroom.yabatech.edu.ng.
.*(school.*fee|tuition).*,"Yabatech school fees range between ₦45,000 and ₦55,000 for full-time ND students. Extra departmental fees may apply."
.*orientation.*programme.*,"Orientation introduces new students to academic life, regulations, and support services. Attendance is mandatory."
^(hi|hello|hey|good morning|good afternoon|good evening).*$,Hello! Welcome to the Yabatech Assistant. Feel free to ask me anything about the school.
.*(cut[- ]?off|cutoff).*mark.*,Yabatech's general UTME cut-off mark is 150. Competitive courses like Mass Comm and Engineering may require higher.
.*acceptance.*fee.*,"The acceptance fee for new students is ₦20,000. This is a compulsory non-refundable payment after admission is offered."
.*(hostel|accommodation).*available.*,"Yes, Yabatech offers hostel accommodation. Fees range from ₦15,000 to ₦20,000, and spaces are limited."
.*acceptance.*fee.*,"The acceptance fee for new students is ₦20,000. This is a compulsory non-refundable payment after admission is offered."
.*certificate.*collection.*,"To collect your certificate, clear all dues and visit the Exams & Records unit with your ID and evidence of clearance."
.*gpa|cgpa.*calculate.*,Yabatech uses a 4.0 CGPA scale. Your GPA is calculated based on your course grades and their credit units.
.*(hostel|accommodation).*available.*,"Yes, Yabatech offers hostel accommodation. Fees range from ₦15,000 to ₦20,000, and spaces are limited."
.*(school.*fee|tuition).*,"Yabatech school fees range between ₦45,000 and ₦55,000 for full-time ND students. Extra departmental fees may apply."
.*exam.*timetable.*,Exam timetables are released by departments and published on the student portal or departmental notice boards.
